f0:25:72:70:9e:7f,PAL3.0,-72,61,  TILE 0, ACC (xy) -0.76234436,1.1546326
f0:25:72:7d:8b:3d,eduroam,-82,39,  TILE 0, ACC (xy) -0.76234436,1.1546326
f0:25:72:7d:71:0f,PAL3.0,-78,48,  TILE 0, ACC (xy) -0.76234436,1.1546326
f0:25:72:7d:71:0d,eduroam,-77,50,  TILE 0, ACC (xy) -0.76234436,1.1546326
f0:25:72:70:9e:7d,eduroam,-72,61,  TILE 0, ACC (xy) -0.76234436,1.1546326
f0:25:72:7d:71:04,Purdue Guest Network,-78,48,  TILE 0, ACC (xy) -0.76234436,1.1546326
f0:25:72:7d:8b:3b,Purdue Guest Network,-80,44,  TILE 0, ACC (xy) -0.76234436,1.1546326
f0:25:72:70:9e:74,Purdue Guest Network,-69,68,  TILE 0, ACC (xy) -0.76234436,1.1546326
f0:25:72:7d:71:09,attwifi,-77,50,  TILE 0, ACC (xy) -0.76234436,1.1546326
f0:25:72:70:9e:79,attwifi,-72,61,  TILE 0, ACC (xy) -0.76234436,1.1546326
f0:25:72:7d:71:0b,Purdue Guest Network,-77,50,  TILE 0, ACC (xy) -0.76234436,1.1546326
f0:25:72:70:9e:7b,Purdue Guest Network,-72,61,  TILE 0, ACC (xy) -0.76234436,1.1546326
f0:25:72:7d:71:49,attwifi,-74,57,  TILE 0, ACC (xy) -0.76234436,1.1546326
f0:25:72:7d:71:4d,eduroam,-74,57,  TILE 0, ACC (xy) -0.76234436,1.1546326
f0:25:72:7d:71:4b,Purdue Guest Network,-74,57,  TILE 0, ACC (xy) -0.76234436,1.1546326
f0:25:72:7d:71:4f,PAL3.0,-75,55,  TILE 0, ACC (xy) -0.76234436,1.1546326
ec:88:8f:fa:76:ca,HeHeHe,-76,52,  TILE 0, ACC (xy) -0.76234436,1.1546326
f0:25:72:7d:6f:64,Purdue Guest Network,-56,96,  TILE 0, ACC (xy) -0.76234436,1.1546326
f0:25:72:7d:6f:6b,Purdue Guest Network,-55,99,  TILE 0, ACC (xy) -0.76234436,1.1546326
f0:25:72:7d:6f:6f,PAL3.0,-55,99,  TILE 0, ACC (xy) -0.76234436,1.1546326
f0:25:72:7d:6f:6d,eduroam,-55,99,  TILE 0, ACC (xy) -0.76234436,1.1546326
f0:25:72:7d:6f:69,attwifi,-55,99,  TILE 0, ACC (xy) -0.76234436,1.1546326
f0:25:72:7d:6f:62,eduroam,-51,99,  TILE 0, ACC (xy) -0.76234436,1.1546326
f0:25:72:7d:8b:3f,PAL3.0,-81,41,  TILE 0, ACC (xy) -0.76234436,1.1546326
f0:25:72:7d:8b:39,attwifi,-81,41,  TILE 0, ACC (xy) -0.76234436,1.1546326
f0:25:72:7d:71:06,attwifi,-77,50,  TILE 0, ACC (xy) -0.76234436,1.1546326
f0:25:72:7d:71:44,Purdue Guest Network,-76,52,  TILE 0, ACC (xy) -0.76234436,1.1546326
f0:25:72:70:9e:72,eduroam,-69,68,  TILE 0, ACC (xy) -0.76234436,1.1546326
f0:25:72:7d:71:46,attwifi,-84,35,  TILE 0, ACC (xy) -0.76234436,1.1546326
f0:25:72:7d:71:42,eduroam,-85,33,  TILE 0, ACC (xy) -0.76234436,1.1546326
f0:25:72:7d:56:b4,Purdue Guest Network,-88,26,  TILE 0, ACC (xy) -0.76234436,1.1546326
f0:25:72:7d:8b:32,eduroam,-77,50,  TILE 0, ACC (xy) -0.76234436,1.1546326
f0:25:72:7d:71:02,eduroam,-79,46,  TILE 0, ACC (xy) -0.76234436,1.1546326
f0:25:72:7d:8b:34,Purdue Guest Network,-77,50,  TILE 0, ACC (xy) -0.76234436,1.1546326

--------------------
f0:25:72:70:9e:7f,PAL3.0,-72,61,  TILE 0, ACC (xy) -0.53134155,1.0298767
f0:25:72:7d:8b:3d,eduroam,-82,39,  TILE 0, ACC (xy) -0.53134155,1.0298767
f0:25:72:7d:71:0f,PAL3.0,-77,50,  TILE 0, ACC (xy) -0.53134155,1.0298767
f0:25:72:7d:71:0d,eduroam,-77,50,  TILE 0, ACC (xy) -0.53134155,1.0298767
f0:25:72:70:9e:7d,eduroam,-72,61,  TILE 0, ACC (xy) -0.53134155,1.0298767
f0:25:72:7d:71:04,Purdue Guest Network,-79,46,  TILE 0, ACC (xy) -0.53134155,1.0298767
f0:25:72:7d:8b:3b,Purdue Guest Network,-84,35,  TILE 0, ACC (xy) -0.53134155,1.0298767
f0:25:72:70:9e:74,Purdue Guest Network,-69,68,  TILE 0, ACC (xy) -0.53134155,1.0298767
