analysis6_results.csv
smean  sstd    e1    e2
0.440 0.500  4.00 -2.00
1.000 0.000  4.50 -2.00
1.050 1.650  0.00  0.50
1.140 1.460  0.00  1.00
1.300 1.420  0.50  0.50
1.310 1.830  0.00  0.00
1.340 1.520  0.50  0.00
1.350 1.390  0.00  1.50
1.410 1.630 -0.50  1.50
1.420 1.390  0.50  1.00
1.470 1.420  1.00  0.00
1.490 1.670  0.50 -0.50
1.490 1.940  0.00 -0.50
1.500 1.400  1.00  0.50
1.500 1.820 -0.50  1.00
1.550 1.470  1.00 -0.50
1.570 1.480  0.00  2.00
1.580 1.460  0.50  1.50
1.580 1.590 -0.50  2.00
1.630 1.410  1.50  0.00

analysis3_results.csv
smean  sstd    e1    e2
3.060 2.910  4.50  3.00
3.070 2.870  4.50  5.00
3.070 2.880  5.00  4.00
3.080 2.860  5.00  4.50
3.080 2.900  4.50  4.50
3.080 2.910  4.50  4.00
3.080 2.920  4.50  3.50
3.080 2.920  5.00  3.50
3.080 2.920  5.00  2.50
3.090 2.850  5.00  5.00
3.090 2.930  5.00  3.00
3.090 2.970  4.50  2.50
3.100 2.910  4.00  3.50
3.100 2.960  4.50  2.00
3.110 2.960  5.00  2.00
3.110 2.950  4.00  3.00
3.120 2.960  5.00  0.50
3.120 2.960  5.00  1.50
3.120 2.960  5.00  1.00
3.130 2.910  4.00  4.00

analysis7_results.csv
smean  sstd    e1    e2
1.020 1.370  0.00  0.50
1.060 1.400  0.00  0.00
1.140 1.320  0.50 -0.50
1.170 1.300  0.50  0.00
1.170 1.330  0.50 -1.00
1.220 1.590  0.00 -0.50
1.240 1.360  0.00  1.00
1.300 1.250  0.50  0.50
1.330 1.370  0.50 -1.50
1.380 1.320  0.00  1.50
1.400 1.240  1.00 -0.50
1.400 1.270  1.00 -1.50
1.410 1.250  1.00 -1.00
1.420 1.280  0.50  1.00
1.430 1.240  1.00  0.00
1.460 1.250  1.00  0.50
1.460 1.340  1.00 -2.00
1.470 1.350  0.00  2.00
1.520 1.290  0.50  1.50
1.540 1.240  1.50 -2.00

analysis0_results.csv
smean  sstd    e1    e2
2.690 2.410  1.00 -0.50
2.690 2.410  3.00 -1.50
2.690 2.410  4.00 -2.00
2.690 2.410  5.00 -2.50
2.690 2.410  2.00 -1.00
2.740 2.450  4.50 -2.00
2.750 2.510  2.50 -1.00
2.750 2.510  5.00 -2.00
2.760 2.760  3.50 -2.00
2.770 2.520  3.50 -1.50
2.770 2.780  4.50 -2.50
2.780 2.550  4.00 -1.50
2.800 3.050  4.00 -2.50
2.810 3.050  5.00 -3.00
2.810 3.050  2.50 -1.50
2.820 3.100  3.00 -2.00
2.820 3.100  1.50 -1.00
2.820 3.100  4.50 -3.00
2.820 3.110  5.00 -3.50
2.850 2.580  1.50 -0.50

analysis4_results.csv
smean  sstd    e1    e2
2.390 2.040  1.00 -1.50
2.390 2.040  3.00 -4.50
