start,-12,44
90:84:0d:da:8d:d7,R57Station,-83,37,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:7d:fc:5d,eduroam,-69,68,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:7d:fc:54,Purdue Guest Network,-67,72,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:7d:fc:5f,PAL3.0,-69,68,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:7d:fc:5b,Purdue Guest Network,-69,68,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:7d:fc:59,attwifi,-69,68,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:7d:ab:cb,Purdue Guest Network,-74,57,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:7d:ab:cd,eduroam,-74,57,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:7d:ab:c9,attwifi,-75,55,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:7d:0d:bd,eduroam,-74,57,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:7d:0d:bf,PAL3.0,-74,57,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:7d:0d:bb,Purdue Guest Network,-74,57,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:7d:0d:b9,attwifi,-74,57,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:7d:ab:cf,PAL3.0,-74,57,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:7d:ab:c4,Purdue Guest Network,-69,68,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:7d:0d:b4,Purdue Guest Network,-74,57,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:70:bd:44,Purdue Guest Network,-61,85,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:70:bd:4b,Purdue Guest Network,-59,90,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:70:bd:49,attwifi,-59,90,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:70:bd:4d,eduroam,-59,90,  TILE 0, ACC (xy) -0.24243164,0.8365326
00:18:f8:c9:99:96,helps,-82,39,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:70:bd:4f,PAL3.0,-59,90,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:7d:75:2f,PAL3.0,-78,48,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:7d:70:ab,Purdue Guest Network,-83,37,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:7d:75:2b,Purdue Guest Network,-59,90,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:7d:70:a4,Purdue Guest Network,-75,55,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:7d:70:ad,eduroam,-75,55,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:7d:0d:b2,eduroam,-72,61,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:7d:fc:52,eduroam,-76,52,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:70:bd:46,attwifi,-70,66,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:7d:fc:56,attwifi,-75,55,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:70:bd:40,PAL3.0,-61,85,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:7d:70:a2,eduroam,-75,55,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:7d:ab:c2,eduroam,-77,50,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:7d:ab:c6,attwifi,-77,50,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:12:0b:f6,attwifi,-82,39,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:7d:ab:c0,PAL3.0,-77,50,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:7d:0d:b6,attwifi,-73,59,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:7d:75:29,attwifi,-74,57,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:7d:75:2d,eduroam,-75,55,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:7d:0d:b0,PAL3.0,-74,57,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:7d:fc:50,PAL3.0,-68,70,  TILE 0, ACC (xy) -0.24243164,0.8365326
f0:25:72:7d:70:a6,attwifi,-79,46,  TILE 0, ACC (xy) -0.24243164,0.8365326
