=====S|100
90:84:0d:da:8d:d7,R57Station,-68,70,  TILE 0, ACC (xy) -0.06628418,0.7770233
f0:25:72:7d:fc:5d,eduroam,-75,55,  TILE 0, ACC (xy) -0.06628418,0.7770233
f0:25:72:7d:fc:54,Purdue Guest Network,-69,68,  TILE 0, ACC (xy) -0.06628418,0.7770233
f0:25:72:7d:fc:5f,PAL3.0,-75,55,  TILE 0, ACC (xy) -0.06628418,0.7770233
f0:25:72:7d:fc:5b,Purdue Guest Network,-75,55,  TILE 0, ACC (xy) -0.06628418,0.7770233
f0:25:72:7d:fc:59,attwifi,-75,55,  TILE 0, ACC (xy) -0.06628418,0.7770233
f0:25:72:7d:8a:cd,eduroam,-70,66,  TILE 0, ACC (xy) -0.06628418,0.7770233
f0:25:72:7d:8a:c9,attwifi,-65,77,  TILE 0, ACC (xy) -0.06628418,0.7770233
f0:25:72:7d:8a:cb,Purdue Guest Network,-70,66,  TILE 0, ACC (xy) -0.06628418,0.7770233
f0:25:72:7d:7c:a4,Purdue Guest Network,-63,81,  TILE 0, ACC (xy) -0.06628418,0.7770233
f0:25:72:7d:7c:ad,eduroam,-58,92,  TILE 0, ACC (xy) -0.06628418,0.7770233
f0:25:72:7d:7c:ab,Purdue Guest Network,-60,88,  TILE 0, ACC (xy) -0.06628418,0.7770233
f0:25:72:7d:7c:a9,attwifi,-60,88,  TILE 0, ACC (xy) -0.06628418,0.7770233
f0:25:72:7d:8a:c4,Purdue Guest Network,-72,61,  TILE 0, ACC (xy) -0.06628418,0.7770233
b4:18:d1:e0:33:de,team7,-82,39,  TILE 0, ACC (xy) -0.06628418,0.7770233
f0:25:72:70:bd:4d,eduroam,-80,44,  TILE 0, ACC (xy) -0.06628418,0.7770233
f0:25:72:70:bd:4b,Purdue Guest Network,-80,44,  TILE 0, ACC (xy) -0.06628418,0.7770233
f0:25:72:7d:88:f6,attwifi,-78,48,  TILE 0, ACC (xy) -0.06628418,0.7770233
f0:25:72:7d:88:f4,Purdue Guest Network,-80,44,  TILE 0, ACC (xy) -0.06628418,0.7770233
f0:25:72:7d:88:fd,eduroam,-75,55,  TILE 0, ACC (xy) -0.06628418,0.7770233
