device, pi
56-5A-04-2F-2C-A1 = -53
6C-B0-CE-ED-2B-BB = -69
F0-25-72-70-9E-70 = -61
F0-25-72-70-9E-74 = -61
F0-25-72-70-C3-50 = -63
F0-25-72-70-C3-52 = -63
F0-25-72-70-C3-54 = -63
F0-25-72-7D-71-04 = -65
F0-25-72-7D-71-06 = -65
F0-25-72-7D-71-42 = -69
F0-25-72-7D-71-46 = -69
---------------------
56-5A-04-2F-2C-A1 = -53
6C-B0-CE-ED-2B-BB = -71
F0-25-72-70-9E-70 = -63
F0-25-72-70-9E-72 = -63
F0-25-72-70-9E-74 = -63
F0-25-72-70-9E-76 = -63
F0-25-72-70-C3-50 = -63
F0-25-72-70-C3-52 = -65
F0-25-72-70-C3-54 = -65
F0-25-72-70-C3-56 = -65
F0-25-72-7D-56-B0 = -77
F0-25-72-7D-6F-60 = -33
F0-25-72-7D-6F-64 = -33
F0-25-72-7D-71-04 = -63
F0-25-72-7D-71-06 = -65
F0-25-72-7D-71-44 = -67
F0-25-72-7D-8B-30 = -69
F0-25-72-7D-8B-34 = -69
---------------------
56-5A-04-2F-2C-A1 = -53
6C-B0-CE-ED-2B-BB = -71
F0-25-72-70-9E-70 = -61
F0-25-72-70-9E-72 = -61
F0-25-72-70-9E-74 = -63
F0-25-72-70-9E-76 = -61
F0-25-72-70-C3-52 = -65
F0-25-72-70-C3-54 = -63
F0-25-72-70-C3-56 = -63
F0-25-72-7D-56-B0 = -77
F0-25-72-7D-56-B6 = -75
F0-25-72-7D-6F-60 = -33
F0-25-72-7D-6F-62 = -33
F0-25-72-7D-6F-64 = -31
F0-25-72-7D-71-00 = -65
F0-25-72-7D-71-04 = -65
F0-25-72-7D-71-06 = -67
F0-25-72-7D-71-44 = -67
F0-25-72-7D-8B-30 = -69
F0-25-72-7D-8B-32 = -69
F0-25-72-7D-8B-34 = -65
F0-25-72-7D-EA-40 = -71
F0-25-72-7D-EA-44 = -71
F0-25-72-7D-EB-80 = -73
---------------------
56-5A-04-2F-2C-A1 = -63
6C-B0-CE-ED-2B-BB = -71
F0-25-72-70-9E-70 = -67
F0-25-72-70-9E-72 = -69
F0-25-72-70-9E-74 = -55
F0-25-72-70-9E-76 = -67
F0-25-72-70-C3-50 = -63
F0-25-72-70-C3-52 = -63
F0-25-72-70-C3-54 = -63
F0-25-72-70-C3-56 = -63
F0-25-72-7D-56-B6 = -75
F0-25-72-7D-6F-60 = -33
F0-25-72-7D-6F-62 = -71
F0-25-72-7D-6F-64 = -31
F0-25-72-7D-6F-66 = -31
F0-25-72-7D-71-00 = -65
F0-25-72-7D-71-02 = -67
F0-25-72-7D-71-04 = -67
F0-25-72-7D-71-06 = -69
F0-25-72-7D-71-42 = -73
F0-25-72-7D-71-46 = -73
F0-25-72-7D-8B-32 = -69
F0-25-72-7D-8B-34 = -67
F0-25-72-7D-EA-44 = -71
F0-25-72-7D-EB-86 = -77
---------------------
56-5A-04-2F-2C-A1 = -53
F0-25-72-70-9E-70 = -65
F0-25-72-70-9E-72 = -65
F0-25-72-70-9E-74 = -67
F0-25-72-70-9E-76 = -65
F0-25-72-70-A5-60 = -75
F0-25-72-70-A5-66 = -75
F0-25-72-70-C3-50 = -71
F0-25-72-70-C3-52 = -61
F0-25-72-70-C3-54 = -61
F0-25-72-70-C3-56 = -61
F0-25-72-7D-6F-60 = -35
F0-25-72-7D-6F-62 = -35
F0-25-72-7D-6F-64 = -35
F0-25-72-7D-6F-66 = -37
F0-25-72-7D-71-02 = -69
F0-25-72-7D-71-04 = -67
F0-25-72-7D-71-06 = -73
F0-25-72-7D-71-42 = -69
F0-25-72-7D-71-46 = -73
F0-25-72-7D-8B-36 = -67
F0-25-72-7D-EB-86 = -71
---------------------
56-5A-04-2F-2C-A1 = -51
6C-B0-CE-ED-2B-BB = -71
F0-25-72-70-9E-70 = -65
F0-25-72-70-9E-72 = -67
F0-25-72-70-9E-74 = -65
F0-25-72-70-9E-76 = -65
F0-25-72-70-A5-66 = -73
F0-25-72-70-C3-50 = -63
F0-25-72-70-C3-52 = -61
F0-25-72-70-C3-54 = -61
F0-25-72-70-C3-56 = -61
F0-25-72-7D-56-B0 = -75
F0-25-72-7D-56-B2 = -73
F0-25-72-7D-6F-60 = -35
F0-25-72-7D-6F-62 = -35
F0-25-72-7D-6F-64 = -35
F0-25-72-7D-6F-66 = -35
F0-25-72-7D-71-00 = -69
F0-25-72-7D-71-02 = -69
F0-25-72-7D-71-04 = -69
F0-25-72-7D-71-06 = -73
F0-25-72-7D-71-40 = -67
F0-25-72-7D-71-46 = -67
F0-25-72-7D-8B-30 = -65
F0-25-72-7D-8B-34 = -65
F0-25-72-7D-EB-80 = -71
---------------------
56-5A-04-2F-2C-A1 = -51
6C-B0-CE-ED-2B-BB = -69
F0-25-72-70-9E-70 = -69
F0-25-72-70-9E-72 = -67
F0-25-72-70-9E-74 = -67
F0-25-72-70-9E-76 = -67
F0-25-72-70-A5-64 = -75
F0-25-72-70-A5-66 = -73
F0-25-72-70-C3-50 = -59
F0-25-72-70-C3-52 = -61
F0-25-72-70-C3-54 = -61
F0-25-72-70-C3-56 = -63
F0-25-72-7D-56-B0 = -75
F0-25-72-7D-56-B2 = -73
F0-25-72-7D-6F-60 = -37
F0-25-72-7D-6F-62 = -37
F0-25-72-7D-6F-64 = -35
F0-25-72-7D-6F-66 = -35
F0-25-72-7D-71-00 = -69
F0-25-72-7D-71-02 = -69
F0-25-72-7D-71-04 = -69
F0-25-72-7D-71-06 = -71
F0-25-72-7D-71-40 = -67
F0-25-72-7D-71-42 = -67
F0-25-72-7D-71-46 = -67
F0-25-72-7D-8B-30 = -65
F0-25-72-7D-8B-32 = -65
F0-25-72-7D-8B-34 = -65
F0-25-72-7D-EA-44 = -69
F0-25-72-7D-EB-82 = -73
F0-25-72-7D-EB-86 = -73
---------------------
56-5A-04-2F-2C-A1 = -51
6C-B0-CE-ED-2B-BB = -71
F0-25-72-70-9E-70 = -67
F0-25-72-70-9E-72 = -67
F0-25-72-70-9E-74 = -67
F0-25-72-70-9E-76 = -67
F0-25-72-70-A5-64 = -75
F0-25-72-70-C3-50 = -61
F0-25-72-70-C3-52 = -61
F0-25-72-70-C3-54 = -61
F0-25-72-70-C3-56 = -61
F0-25-72-7D-6F-60 = -35
F0-25-72-7D-6F-62 = -37
F0-25-72-7D-6F-64 = -37
F0-25-72-7D-6F-66 = -35
F0-25-72-7D-71-02 = -69
F0-25-72-7D-71-04 = -69
F0-25-72-7D-71-06 = -69
F0-25-72-7D-71-42 = -69
F0-25-72-7D-71-46 = -69
F0-25-72-7D-8B-32 = -65
F0-25-72-7D-8B-34 = -67
F0-25-72-7D-EB-82 = -73
F0-25-72-7D-EB-84 = -75
F0-25-72-7D-EB-86 = -73
---------------------
56-5A-04-2F-2C-A1 = -53
6C-B0-CE-ED-2B-BB = -73
F0-25-72-70-9E-70 = -67
F0-25-72-70-9E-72 = -67
F0-25-72-70-9E-74 = -67
F0-25-72-70-9E-76 = -65
F0-25-72-70-C3-50 = -59
F0-25-72-70-C3-52 = -61
F0-25-72-70-C3-56 = -59
F0-25-72-7D-56-B6 = -77
F0-25-72-7D-6F-60 = -35
F0-25-72-7D-6F-62 = -37
F0-25-72-7D-6F-64 = -37
F0-25-72-7D-6F-66 = -35
F0-25-72-7D-71-02 = -71
F0-25-72-7D-71-04 = -69
F0-25-72-7D-71-06 = -71
F0-25-72-7D-71-42 = -67
F0-25-72-7D-71-46 = -67
F0-25-72-7D-8B-34 = -65
F0-25-72-7D-EB-84 = -77
---------------------
---------------------
56-5A-04-2F-2C-A1 = -59
6C-B0-CE-ED-2B-BB = -71
F0-25-72-70-9E-72 = -67
F0-25-72-70-9E-74 = -67
F0-25-72-70-9E-76 = -67
