analysis8_results.csv
smean  sstd    e1    e2
4.560 3.950  2.00  0.00
4.560 3.950  1.00  0.00
4.560 3.950  1.50  0.00
4.560 3.950  5.00  0.00
4.560 3.950  4.50  0.00
4.560 3.950  3.00  0.00
4.560 3.950  3.50  0.00
4.560 3.950  0.50  0.00
4.560 3.950  2.50  0.00
4.560 3.950  4.00  0.00
5.460 4.120  4.50  0.50
5.460 4.120  5.00  0.50
5.470 4.100  4.50  1.00
5.470 4.110  3.50  0.50
5.470 4.110  3.00  0.50
5.470 4.110  4.00  0.50
5.480 4.100  5.00  1.00
5.480 4.100  2.50  0.50
5.480 4.110  4.00  1.00
5.480 4.110  2.00  0.50

analysis6_results.csv
smean  sstd    e1    e2
2.550 2.520  2.50 -4.00
2.560 2.530  1.50 -2.50
2.560 2.530  3.00 -5.00
2.570 2.530  1.00 -1.50
2.570 2.530  3.00 -4.50
2.570 2.530  2.00 -3.00
2.580 2.520  3.50 -5.00
2.590 2.620  2.50 -4.50
2.600 2.620  2.00 -3.50
2.600 2.530  3.50 -4.50
2.610 2.530  3.00 -4.00
2.610 2.530  1.50 -2.00
2.610 2.530  2.50 -3.50
2.610 2.610  0.50 -1.00
2.610 2.610  2.00 -4.00
2.610 2.610  2.50 -5.00
2.610 2.610  1.50 -3.00
2.610 2.610  1.00 -2.00
2.630 2.560  4.00 -5.00
2.630 2.560  2.00 -2.50

analysis9_results.csv
smean  sstd    e1    e2
1.490 1.980  0.50  0.00
1.600 2.100  0.00  0.00
1.800 1.980  1.00  0.00
1.910 2.450 -0.50  0.00
1.990 1.930  1.50  0.00
2.160 1.960  2.00  0.00
2.310 2.020  2.50  0.00
2.350 2.370 -1.00  0.00
2.460 2.030  3.00  0.00
2.550 2.090  3.50  0.00
2.650 2.140  4.00  0.00
2.690 2.350 -1.50  0.00
2.720 2.190  4.50  0.00
2.810 2.250  5.00  0.00
3.140 2.390 -2.00  0.00
3.590 2.440 -2.50  0.00
4.070 2.670 -3.00  0.00
4.510 2.790 -3.50  0.00
5.010 3.000 -4.00  0.00
5.430 3.160 -4.50  0.00

analysis7_results.csv
smean  sstd    e1    e2
1.440 1.980  0.50 -0.50
1.490 1.980  0.50  0.00
1.560 1.900  1.00 -0.50
1.590 1.590  1.50 -2.00
1.590 1.600  1.50 -1.50
1.600 1.560  2.00 -1.50
1.600 1.980  0.00 -0.50
1.600 2.100  0.00  0.00
1.610 1.740  1.00 -1.00
1.610 1.680  2.00 -1.00
1.610 1.700  1.50 -1.00
1.640 1.570  2.00 -2.00
1.640 1.660  1.00 -2.00
1.640 1.830  0.50 -1.00
1.650 1.620  2.50 -1.50
1.650 1.550  3.00 -2.00
1.660 1.650  1.00 -1.50
1.670 1.560  2.50 -2.00
1.670 1.650  1.50 -2.50
1.670 1.560  3.50 -2.00

analysis10_results.csv
smean  sstd    e1    e2
1.510 2.370  0.00  0.50
1.610 2.090  0.00  1.00
1.720 2.040  0.50  0.50
1.850 2.010  0.00  1.50
1.860 1.990  0.50  1.00
1.860 2.190  0.50  0.00
1.910 2.670  0.00  0.00
1.930 1.990  1.00  0.50
1.940 2.030  1.00  0.00
2.050 1.970  1.50  0.00
2.080 2.120  0.50  1.50
2.120 2.050  1.00  1.00
2.130 2.430  0.50 -0.50
2.140 2.040  1.50 -0.50
2.140 2.140  1.00 -0.50
2.150 2.040  1.50  0.50
2.150 2.850  0.00 -0.50
2.160 2.010  2.00 -0.50
2.170 2.190  0.00  2.00
2.190 2.040  2.00  0.00

analysis11_results.csv
smean  sstd    e1    e2
1.510 2.030  0.00  0.50
1.600 2.100  0.00  0.00
1.640 1.970  0.50 -0.50
1.650 1.940  0.50  0.00
1.740 2.000  0.50 -1.00
1.740 1.880  0.50  0.50
1.820 2.020  0.00  1.00
1.860 1.910  0.50  1.00
1.860 2.410  0.00 -0.50
1.870 1.820  1.00  0.00
1.880 1.830  1.00  0.50
1.890 1.840  1.00 -0.50
1.950 1.780  1.50  0.00
1.950 1.880  1.00 -1.00
1.960 1.860  1.00  1.00
1.970 1.920  0.50  1.50
1.980 1.790  1.50 -0.50
1.980 1.810  1.50  0.50
1.980 1.840  2.50 -0.50
1.990 1.760  2.00 -0.50

