   mean     std    e1    e2
   0.02    0.21  3.50  1.50
   0.02    0.21  4.00  1.50
   0.02    0.21  5.00  2.00
   0.02    0.21  2.50  1.00
   0.02    0.22  1.50  0.50
   0.02    0.22  4.50  1.50
   0.02    0.22  3.00  1.00
   0.02    0.22  3.50  1.00
   0.02    0.22  5.00  1.50
   0.02    0.22  4.50  2.00
   0.02    0.23  3.50  3.00
   0.02    0.23  3.00  3.00
   0.02    0.23  3.50  3.50
   0.02    0.23  4.00  2.00
   0.02    0.23  4.00  2.50
   0.02    0.23  4.00  3.00
   0.02    0.23  4.00  3.50
   0.02    0.23  4.00  4.00
   0.02    0.23  4.50  1.00
   0.02    0.23  4.50  2.50
   0.02    0.23  4.50  3.00
   0.02    0.23  4.50  3.50
   0.02    0.23  4.50  4.00
   0.02    0.23  4.50  4.50
   0.02    0.23  2.50  1.50
   0.02    0.23  1.50  1.50
   0.02    0.23  1.50  1.00
   0.02    0.23  2.00  1.00
   0.02    0.23  2.00  1.50
   0.02    0.23  2.00  2.00
   0.02    0.23  1.00  1.00
   0.02    0.23  1.00  0.50
   0.02    0.23  0.50  0.50
   0.02    0.23  3.50  2.50
   0.02    0.23  2.50  2.00
   0.02    0.23  2.50  2.50
   0.02    0.23  3.00  1.50
   0.02    0.23  3.00  2.00
   0.02    0.23  3.00  2.50
   0.02    0.23  5.00  5.00
   0.02    0.23  3.50  2.00
   0.02    0.23  5.00  3.50
   0.02    0.23  5.00  4.50
   0.02    0.23  5.00  4.00
   0.02    0.23  5.00  3.00
   0.02    0.23  5.00  2.50
   0.03    0.23  3.00  0.50
   0.03    0.23  4.00  0.50
   0.03    0.23  2.50  0.50
   0.03    0.23  5.00  1.00
   0.03    0.23  3.50  0.50
   0.03    0.23  4.50  0.50
   0.03    0.24  2.00  0.50
   0.03    0.24  4.00  1.00
   0.03    0.23  5.00  0.50
   0.03    0.29  3.00  5.00
   0.03    0.29  1.50  2.50
   0.03    0.29  3.00  4.50
   0.03    0.29  3.00  4.00
   0.03    0.29  3.00  3.50
   0.03    0.29  4.00  4.50
   0.03    0.29  4.00  5.00
   0.03    0.29  2.00  3.50
   0.03    0.29  1.50  2.00
   0.03    0.29  2.50  4.50
   0.03    0.29  2.50  4.00
   0.03    0.29  4.50  5.00
   0.03    0.29  3.50  4.00
   0.03    0.29  3.50  4.50
   0.03    0.29  3.50  5.00
   0.03    0.29  2.00  3.00
   0.03    0.29  2.00  2.50
   0.03    0.29  1.00  1.50
   0.03    0.29  2.50  3.00
   0.03    0.29  2.50  3.50
   0.03    0.30  1.00  2.00
   0.03    0.30  2.00  5.00
   0.03    0.30  2.00  4.50
   0.03    0.30  2.00  4.00
   0.03    0.30  1.00  3.50
   0.03    0.30  1.00  3.00
   0.03    0.30  0.50  1.00
   0.03    0.30  1.00  2.50
   0.03    0.30  1.50  5.00
   0.03    0.30  1.50  4.50
   0.03    0.30  1.50  4.00
   0.03    0.30  2.50  5.00
