   mean     std    e1    e2
   0.53    0.86  0.00  0.50
   0.57    0.75  0.00  1.00
   0.66    0.82 -0.50  1.50
   0.66    0.93  0.00  0.00
   0.69    0.71  0.00  1.50
   0.72    0.92 -0.50  1.00
   0.74    0.72  0.50  0.50
   0.74    0.78 -0.50  2.00
   0.76    0.98  0.00 -0.50
   0.77    0.76  0.50  0.00
   0.79    0.85  0.50 -0.50
   0.80    0.73  0.00  2.00
   0.80    0.71  0.50  1.00
   0.82    0.92  0.50 -1.00
   0.83    0.96 -0.50  0.50
   0.84    0.73  1.00  0.00
   0.85    0.75  1.00 -0.50
   0.86    0.79 -0.50  2.50
   0.86    0.74  0.50  1.50
   0.88    0.71  1.00  0.50
   0.89    0.93  0.50 -1.50
   0.93    0.84  1.00 -1.00
   0.94    0.97  0.00 -1.00
   0.95    0.83  0.00  2.50
   0.96    0.74  1.00  1.00
   0.96    0.91  1.00 -1.50
   0.97    0.99 -0.50  0.00
   0.97    0.78  1.50 -0.50
   0.98    0.78  1.50 -1.00
   0.98    0.75  1.50  0.00
   0.99    0.94  0.50 -2.00
   1.00    0.86 -0.50  3.00
   1.00    0.92  1.00 -2.00
   1.00    0.80  0.50  2.00
   1.01    1.02  0.00 -1.50
   1.02    0.81  1.00  1.50
   1.03    0.77  1.50  0.50
   1.03    0.91 -1.00  2.00
   1.03    0.83  1.50 -1.50
   1.04    0.92  1.00 -2.50
   1.05    0.82  2.00 -1.00
   1.05    0.79  2.00 -0.50
   1.05    0.87  0.00  3.00
   1.07    0.85 -1.00  3.00
   1.07    0.84 -1.00  2.50
   1.07    0.79  2.00  0.00
   1.07    0.86  1.50 -2.00
   1.08    0.92  0.50 -2.50
   1.09    0.90  1.50 -2.50
   1.09    0.82  1.50  1.00
   1.09    0.83  2.00 -1.50
   1.09    0.90 -0.50  3.50
   1.10    0.87  1.00  2.00
   1.11    0.86  2.50 -0.50
   1.11    0.85  0.50  2.50
   1.11    0.92  1.00 -3.00
   1.11    0.87  3.00 -4.50
   1.12    1.03 -0.50 -0.50
   1.12    0.85  2.00  0.50
   1.12    0.85  2.50 -1.00
   1.13    0.96 -1.00  1.50
   1.14    0.82  2.50 -1.50
   1.14    1.08  0.00 -2.00
   1.14    0.90  3.00 -3.50
   1.15    0.83  3.50 -1.50
   1.15    0.88  2.00 -2.00
   1.16    0.83  2.50 -2.00
   1.16    0.87  1.50  1.50
   1.16    0.96  3.00 -5.00
   1.16    0.90  3.00 -1.50
   1.17    0.92  1.50 -3.00
   1.17    0.92 -1.00  3.50
   1.17    0.85  3.00 -4.00
   1.17    0.94  0.00  3.50
   1.17    0.95  3.00 -3.00
   1.18    0.93  3.00 -1.00
   1.18    0.94  0.50 -3.00
   1.19    0.92  0.50  3.00
   1.19    0.89  2.50  0.00
   1.20    0.82  3.50 -1.00
   1.20    0.90  2.00 -2.50
   1.21    0.93  1.00  2.50
   1.21    0.97 -0.50  4.00
   1.21    0.97  1.50 -3.50
   1.21    0.93  3.00 -0.50
   1.21    0.92  2.00  1.00
   1.21    0.89  3.00 -2.00
   1.22    0.97  1.00 -3.50
   1.23    0.90  2.50 -2.50
   1.23    0.92  3.00 -2.50
   1.24    0.95  2.00 -3.00
   1.24    0.96  1.50  2.00
   1.24    0.95  2.50 -5.00
   1.24    1.10  0.00 -2.50
   1.25    1.02 -0.50  4.50
   1.25    1.02  0.00  4.00
   1.25    1.05 -0.50 -1.00
   1.25    0.93  3.50 -2.00
   1.25    0.43  3.50 -3.00
   1.25    0.94  2.50 -4.50
   1.25    0.95 -1.00  4.00
   1.26    0.94  2.00 -3.50
   1.26    0.95  2.50 -4.00
   1.26    0.96  2.50  0.50
   1.27    1.04 -1.00  1.00
   1.27    0.94  1.00  3.00
   1.27    0.91  3.50 -0.50
   1.28    0.94  2.00 -4.00
   1.28    0.98  1.50 -4.00
   1.28    0.95  2.50 -3.00
   1.29    0.99  2.00  1.50
   1.29    0.99 -1.00  4.50
   1.29    1.06 -0.50  5.00
   1.29    0.98  0.50  3.50
   1.29    1.00  1.50  2.50
   1.30    1.03  0.00  4.50
   1.30    1.00  3.00  0.00
   1.31    0.95  2.50 -3.50
