   mean     std    e1    e2
   2.21    1.63  3.00  0.00
   2.21    1.63  4.50  0.00
   2.21    1.63  2.00  0.00
   2.21    1.63  5.00  0.00
   2.21    1.63  4.00  0.00
   2.21    1.63  1.50  0.00
   2.21    1.63  2.50  0.00
   2.21    1.63  0.50  0.00
   2.21    1.63  1.00  0.00
   2.21    1.63  3.50  0.00
   3.21    1.86  5.00  1.00
   3.21    1.86  2.00  0.50
   3.21    1.86  3.50  1.00
   3.21    1.86  3.50  0.50
   3.21    1.86  2.50  0.50
   3.21    1.86  4.50  1.00
   3.21    1.86  4.50  1.50
   3.21    1.86  3.00  1.00
   3.21    1.86  4.00  1.00
   3.21    1.86  3.00  0.50
   3.21    1.86  1.50  0.50
   3.21    1.86  5.00  1.50
   3.22    1.87 -0.50  4.00
   3.22    1.87 -0.50  3.50
   3.22    1.87 -2.50  1.50
   3.22    1.87 -0.50  2.50
   3.22    1.87 -2.50  2.00
   3.22    1.87 -2.50  2.50
   3.22    1.87 -2.50  3.00
   3.22    1.87 -2.50  3.50
   3.22    1.87 -2.50  4.00
   3.22    1.87 -2.50  4.50
   3.22    1.87 -2.50  5.00
   3.22    1.87 -0.50  3.00
   3.22    1.87  3.50  3.50
   3.22    1.87 -3.00  4.50
   3.22    1.87  0.00  2.50
   3.22    1.87  0.00  2.00
   3.22    1.87  0.00  1.50
   3.22    1.87  0.00  1.00
   3.22    1.87 -3.00  2.00
   3.22    1.87 -3.00  2.50
   3.22    1.87 -3.00  3.00
   3.22    1.87 -3.00  3.50
   3.22    1.87 -3.00  4.00
   3.22    1.87 -0.50  4.50
   3.22    1.87 -3.00  5.00
   3.22    1.87  0.00  0.50
   3.22    1.86  4.00  0.50
   3.22    1.87  2.50  3.00
   3.22    1.87  2.50  3.50
   3.22    1.87  2.50  4.00
   3.22    1.87  2.50  4.50
   3.22    1.87  2.50  5.00
   3.22    1.87 -0.50  5.00
   3.22    1.87 -1.50  4.50
   3.22    1.87 -1.00  3.00
   3.22    1.87 -1.00  2.50
   3.22    1.87 -1.50  1.00
   3.22    1.87 -1.50  1.50
   3.22    1.87 -1.50  2.00
   3.22    1.87 -1.50  2.50
   3.22    1.87 -1.50  3.00
   3.22    1.87 -1.50  3.50
   3.22    1.87 -1.50  4.00
   3.22    1.87 -1.00  3.50
   3.22    1.87 -1.50  5.00
   3.22    1.87 -1.00  2.00
   3.22    1.87 -1.00  1.50
   3.22    1.87 -1.00  1.00
   3.22    1.87  3.00  3.00
   3.22    1.87  3.00  3.50
   3.22    1.87  3.00  5.00
   3.22    1.87  3.00  4.50
   3.22    1.87  3.00  4.00
   3.22    1.87 -2.00  2.50
   3.22    1.87 -0.50  1.50
   3.22    1.87  3.50  5.00
   3.22    1.87  3.50  4.50
   3.22    1.87  3.50  4.00
   3.22    1.87  4.00  4.50
   3.22    1.87 -0.50  1.00
   3.22    1.87 -0.50  0.50
   3.22    1.87 -2.00  1.50
   3.22    1.87 -2.00  2.00
   3.22    1.87 -0.50  2.00
   3.22    1.87 -2.00  3.00
   3.22    1.87 -2.00  3.50
   3.22    1.87 -2.00  4.00
   3.22    1.87 -2.00  4.50
   3.22    1.87 -2.00  5.00
   3.22    1.87 -1.00  5.00
   3.22    1.87 -1.00  4.50
   3.22    1.87 -1.00  4.00
   3.22    1.87 -4.50  4.00
   3.22    1.87  1.00  5.00
   3.22    1.87  1.00  4.50
   3.22    1.87  1.00  4.00
   3.22    1.87  1.00  3.50
