analysis8_results.csv
amean  astd    e1    e2
1.518 1.302  1.00  0.00
1.518 1.302  2.50  0.00
1.518 1.302  4.50  0.00
1.518 1.302  3.50  0.00
1.518 1.302  3.00  0.00
1.518 1.302  0.50  0.00
1.518 1.302  5.00  0.00
1.518 1.302  1.50  0.00
1.518 1.302  4.00  0.00
1.518 1.302  2.00  0.00
1.683 1.403  5.00  0.50
1.685 1.403  4.50  0.50
1.690 1.403  4.00  0.50
1.693 1.403  3.50  0.50
1.693 1.403  3.00  0.50
1.698 1.403  5.00  1.00
1.698 1.403  4.50  1.00
1.698 1.403  2.50  0.50
1.700 1.405  4.00  1.00
1.700 1.405  2.00  0.50

analysis6_results.csv
amean  astd    e1    e2
0.875 0.868  4.00 -2.50
0.880 0.868  1.50 -1.00
0.880 0.868  4.50 -3.00
0.880 0.868  3.00 -2.00
0.880 0.887  2.00 -1.50
0.880 0.887  4.00 -3.00
0.880 0.890  5.00 -3.50
0.882 0.873  5.00 -3.00
0.882 0.873  2.50 -1.50
0.882 0.890  3.50 -2.50
0.887 0.870  2.00 -1.00
0.887 0.870  1.00 -0.50
0.887 0.870  3.00 -1.50
0.887 0.870  4.00 -2.00
0.887 0.870  5.00 -2.50
0.887 0.872  3.50 -2.00
0.887 0.872  4.50 -2.50
0.887 0.890  3.00 -2.50
0.887 0.890  3.50 -3.00
0.887 0.892  2.50 -2.00

analysis9_results.csv
amean  astd    e1    e2
0.500 0.673  0.50  0.00
0.535 0.700  0.00  0.00
0.585 0.673  1.00  0.00
0.630 0.802 -0.50  0.00
0.652 0.660  1.50  0.00
0.710 0.662  2.00  0.00
0.757 0.677  2.50  0.00
0.768 0.790 -1.00  0.00
0.805 0.680  3.00  0.00
0.835 0.693  3.50  0.00
0.865 0.703  4.00  0.00
0.875 0.780 -1.50  0.00
0.890 0.715  4.50  0.00
0.917 0.733  5.00  0.00
1.015 0.790 -2.00  0.00
1.157 0.807 -2.50  0.00
1.312 0.880 -3.00  0.00
1.458 0.920 -3.50  0.00
1.617 0.982 -4.00  0.00
1.758 1.040 -4.50  0.00

analysis7_results.csv
amean  astd    e1    e2
0.477 0.662  0.50 -0.50
0.500 0.640  1.00 -0.50
0.500 0.673  0.50  0.00
0.518 0.578  2.00 -1.00
0.522 0.585  1.50 -1.00
0.525 0.542  2.00 -1.50
0.532 0.555  2.50 -1.50
0.532 0.557  1.50 -1.50
0.532 0.663  0.00 -0.50
0.535 0.598  1.00 -1.00
0.535 0.633  1.50 -0.50
0.535 0.700  0.00  0.00
0.542 0.535  3.00 -2.00
0.542 0.552  1.50 -2.00
0.542 0.580  2.50 -1.00
0.547 0.545  2.00 -2.00
0.547 0.560  3.00 -1.50
0.550 0.535  3.50 -2.00
0.550 0.537  2.50 -2.00
0.550 0.622  0.50 -1.00

analysis10_results.csv
amean  astd    e1    e2
0.662 0.507  3.50 -2.50
0.683 0.667  3.50 -1.50
0.685 0.647  2.00 -0.50
0.688 0.667  2.50 -1.00
0.690 0.695  3.00 -1.00
0.692 0.690  3.00 -1.50
0.695 0.633  1.50  0.00
0.695 0.660  2.00  0.00
0.695 0.677  2.50 -0.50
0.700 0.620  3.50 -2.00
0.703 0.653  1.50  0.50
0.715 0.653  2.00 -1.00
0.718 0.730  3.00 -0.50
0.720 0.650  1.00  1.00
0.723 0.625  1.00  0.50
0.725 0.637  1.50 -0.50
0.728 0.700  3.50 -1.00
0.730 0.720  2.00  0.50
0.732 0.728  2.50  0.00
0.733 0.685  2.50 -1.50

analysis11_results.csv
amean  astd    e1    e2
0.660 0.603  1.50  1.00
0.660 0.623  2.00  0.50
0.662 0.620  1.50  1.50
0.662 0.638  2.50  0.50
0.665 0.643  2.50  0.00
0.667 0.603  1.50  0.50
0.667 0.610  2.00  0.00
0.667 0.645  2.50  1.00
0.668 0.632  2.50 -0.50
0.670 0.622  2.50 -1.00
0.670 0.625  1.50  2.00
0.670 0.650  3.00  0.00
0.672 0.593  1.00  1.50
0.673 0.625  1.00  2.50
0.675 0.613  1.00  2.00
0.675 0.640  1.50  2.50
0.675 0.652  3.00 -0.50
0.677 0.610  2.00 -0.50
0.677 0.630  2.00  1.00
0.677 0.647  3.00  0.50

