   mean     std    e1    e2
   1.27    1.49  5.00  0.50
   1.28    1.49  4.50  0.50
   1.29    1.50  4.00  0.50
   1.30    1.50  3.50  0.50
   1.30    1.50  3.00  0.50
   1.31    1.51  2.50  0.50
   1.31    1.51  5.00  1.00
   1.32    1.51  4.50  1.00
   1.32    1.51  2.00  0.50
   1.32    1.51  4.00  1.00
   1.33    1.51  3.50  1.00
   1.34    1.52  5.00  1.50
   1.35    1.52  1.50  0.50
   1.35    1.52  3.00  1.00
   1.35    1.52  4.50  1.50
   1.36    1.52  5.00  2.00
   1.36    1.52  4.00  1.50
   1.36    1.52  2.50  1.00
   1.36    1.53  3.50  1.50
   1.37    1.53  5.00  2.50
   1.37    1.53  3.00  1.50
   1.37    1.53  1.00  0.50
   1.37    1.53  4.00  2.00
   1.37    1.53  2.00  1.00
   1.37    1.53  4.50  2.00
   1.37    1.53  3.50  2.00
   1.37    1.53  4.50  2.50
   1.37    1.54  5.00  3.00
   1.37    1.54  2.50  1.50
   1.38    1.54  4.00  2.50
   1.38    1.54  4.50  3.00
   1.38    1.54  3.00  2.00
   1.38    1.54  1.50  1.00
   1.39    1.54  5.00  3.50
   1.39    1.54  3.50  2.50
   1.40    1.54  4.00  3.50
   1.40    1.54  2.00  1.50
   1.40    1.54  4.50  3.50
   1.40    1.54  4.50  4.00
   1.40    1.54  5.00  4.00
   1.40    1.54  4.00  3.00
   1.40    1.54  2.50  2.00
   1.40    1.54  3.50  3.00
   1.40    1.54  5.00  4.50
   1.40    1.54  3.00  2.50
   1.40    1.54  2.00  2.50
   1.40    1.54  4.00  5.00
   1.40    1.54  1.50  1.50
   1.40    1.54  4.00  4.00
   1.40    1.54  4.00  4.50
   1.40    1.54  3.00  3.00
   1.40    1.54  2.00  2.00
   1.40    1.54  1.00  1.00
   1.40    1.54  0.50  0.50
   1.40    1.54  3.50  4.00
   1.40    1.54  3.50  3.50
   1.40    1.54  2.50  2.50
   1.40    1.54  2.50  3.00
   1.40    1.54  5.00  5.00
   1.40    1.54  3.00  3.50
   1.40    1.54  4.50  5.00
   1.40    1.54  4.50  4.50
   1.40    1.54  3.00  4.00
   1.40    1.54  2.50  3.50
   1.40    1.54  3.50  4.50
   1.40    1.54  1.50  2.00
   1.40    1.54  1.00  1.50
   1.40    1.54  3.00  4.50
   1.40    1.54  2.00  3.00
   1.40    1.54  3.50  5.00
   1.40    1.54  1.50  2.50
   1.40    1.54  2.50  4.00
   1.40    1.54  3.00  5.00
   1.41    1.55  2.00  3.50
   1.41    1.55  2.50  4.50
   1.42    1.55  1.50  3.00
   1.42    1.55  2.00  4.00
   1.42    1.55  1.00  2.00
   1.42    1.55  2.50  5.00
   1.42    1.55  0.50  1.00
   1.42    1.55  1.50  3.50
   1.42    1.55  2.00  4.50
   1.43    1.55  1.50  4.00
   1.43    1.55  1.00  2.50
   1.43    1.55  2.00  5.00
   1.43    1.55  1.50  4.50
   1.43    1.55  0.50  1.50
   1.43    1.55  1.00  3.00
   1.43    1.56  1.00  3.50
   1.43    1.56  1.50  5.00
   1.44    1.56  1.00  4.50
   1.44    1.56  1.00  4.00
