   mean     std    e1    e2
   0.05    0.23  5.00  5.00
   0.05    0.23  5.00  3.00
   0.05    0.23  5.00  4.50
   0.05    0.23  5.00  4.00
   0.05    0.23  5.00  3.50
   0.05    0.23  5.00  2.50
   0.06    0.24  4.50  3.00
   0.06    0.24  5.00  2.00
   0.06    0.24  5.00  1.50
   0.06    0.24  5.00  1.00
   0.06    0.24  4.50  4.50
   0.06    0.24  4.50  4.00
   0.06    0.24  4.50  3.50
   0.06    0.24  4.50  2.50
   0.06    0.24  4.50  5.00
   0.06    0.24  4.50  2.00
   0.06    0.24  5.00 -0.50
   0.06    0.24  5.00  0.50
   0.06    0.24  5.00  0.00
   0.06    0.24  4.50  1.50
   0.06    0.24  5.00 -1.50
   0.06    0.25  4.50  1.00
   0.06    0.25  4.00  3.50
   0.06    0.25  4.00  4.00
   0.06    0.25  5.00 -1.00
   0.06    0.25  4.50  0.00
   0.06    0.25  4.50 -1.50
   0.06    0.25  4.00  2.50
   0.06    0.25  4.00  3.00
   0.06    0.25  4.00  2.00
   0.06    0.25  5.00 -2.50
   0.06    0.25  5.00 -2.00
   0.07    0.25  4.50  0.50
   0.07    0.25  4.00  1.50
   0.07    0.25  4.50 -0.50
   0.07    0.25  4.00  4.50
   0.07    0.26  4.00  5.00
   0.07    0.26  4.50 -1.00
   0.07    0.26  4.00  1.00
   0.07    0.26  4.00  0.50
   0.07    0.26  3.50  3.00
   0.07    0.26  4.00  0.00
   0.07    0.27  4.50 -2.00
   0.07    0.27  4.00 -0.50
   0.08    0.27  5.00 -3.00
   0.08    0.27  3.50  3.50
   0.08    0.27  3.50  2.50
   0.08    0.28  3.50  4.50
   0.08    0.27  3.50  4.00
   0.08    0.27  3.50  1.50
   0.08    0.27  4.00 -1.00
   0.08    0.28  3.50  5.00
   0.08    0.28  3.50  2.00
   0.08    0.28  3.50  1.00
   0.08    0.28  3.50  0.50
   0.08    0.28  3.50  0.00
   0.09    0.29  4.00 -1.50
   0.09    0.29  4.50 -2.50
   0.09    0.30  3.50 -0.50
   0.10    0.30  5.00 -3.50
   0.10    0.30  3.00  3.50
   0.10    0.31  3.00  4.00
   0.10    0.30  3.00  5.00
   0.10    0.30  3.00  2.50
   0.10    0.31  3.00  4.50
   0.10    0.31  4.00 -2.00
   0.10    0.31  3.00  3.00
   0.10    0.31  3.00  1.50
   0.10    0.31  3.00  2.00
   0.11    0.31  3.00  1.00
   0.11    0.31  3.50 -1.00
