   mean     std    e1    e2
   0.50    0.66  0.50  0.00
   0.53    0.70  0.00  0.00
   0.62    0.66  1.00  0.00
   0.63    0.82 -0.50  0.00
   0.68    0.64  1.50  0.00
   0.74    0.67  2.00  0.00
   0.79    0.70  2.50  0.00
   0.81    0.77 -1.00  0.00
   0.87    0.70  3.00  0.00
   0.90    0.78 -1.50  0.00
   0.92    0.74  3.50  0.00
   0.98    0.77  4.00  0.00
   1.01    0.78  4.50  0.00
   1.04    0.82 -2.00  0.00
   1.04    0.80  5.00  0.00
   1.15    0.83 -2.50  0.00
   1.33    0.93 -3.00  0.00
   1.47    0.96 -3.50  0.00
   1.63    1.02 -4.00  0.00
   1.79    1.10 -4.50  0.00
   1.90    1.11 -5.00  0.00
