---------------------
========== [FLAGGED] =============
56-5A-04-2F-2C-A1 = -57
6C-B0-CE-ED-2B-BB = -73
F0-25-72-70-9E-70 = -67
F0-25-72-70-9E-74 = -69
F0-25-72-70-C3-50 = -67
F0-25-72-70-C3-52 = -67
F0-25-72-70-C3-54 = -67
F0-25-72-70-C3-56 = -67
F0-25-72-7D-71-02 = -71
F0-25-72-7D-71-04 = -67
F0-25-72-7D-71-06 = -67
F0-25-72-7D-71-46 = -67
---------------------
56-5A-04-2F-2C-A1 = -59
6C-B0-CE-ED-2B-BB = -75
F0-25-72-70-9E-70 = -57
F0-25-72-70-9E-72 = -57
F0-25-72-70-9E-74 = -57
F0-25-72-70-B6-72 = -79
F0-25-72-70-C3-50 = -67
F0-25-72-70-C3-52 = -63
F0-25-72-70-C3-54 = -63
F0-25-72-70-C3-56 = -67
F0-25-72-7D-6F-60 = -41
F0-25-72-7D-6F-64 = -43
F0-25-72-7D-71-00 = -63
F0-25-72-7D-71-02 = -71
F0-25-72-7D-71-04 = -63
F0-25-72-7D-71-06 = -67
---------------------
56-5A-04-2F-2C-A1 = -49
F0-25-72-70-9E-70 = -55
F0-25-72-70-9E-72 = -55
F0-25-72-70-9E-74 = -55
F0-25-72-70-9E-76 = -55
F0-25-72-70-B6-72 = -79
F0-25-72-70-C3-52 = -63
F0-25-72-70-C3-54 = -63
F0-25-72-7D-6F-62 = -51
F0-25-72-7D-6F-64 = -49
F0-25-72-7D-6F-66 = -49
F0-25-72-7D-71-00 = -69
F0-25-72-7D-71-02 = -69
F0-25-72-7D-71-04 = -71
F0-25-72-7D-71-06 = -69
F0-25-72-7D-71-40 = -65
F0-25-72-7D-71-42 = -67
F0-25-72-7D-71-44 = -69
F0-25-72-7D-8B-30 = -67
F0-25-72-7D-8B-32 = -67
F0-25-72-7D-8B-34 = -65
F0-25-72-7D-8B-36 = -65
F0-25-72-7D-EB-80 = -77
F0-25-72-7D-EB-82 = -77
---------------------
---------------------
56-5A-04-2F-2C-A1 = -49
6C-B0-CE-ED-2B-BB = -69
F0-25-72-70-9E-70 = -55
F0-25-72-70-9E-72 = -63
F0-25-72-70-9E-74 = -55
F0-25-72-70-9E-76 = -53
F0-25-72-70-A5-60 = -65
F0-25-72-70-A5-62 = -67
F0-25-72-70-A5-64 = -67
F0-25-72-70-A5-66 = -67
F0-25-72-70-B6-70 = -75
F0-25-72-70-B6-72 = -75
F0-25-72-70-B6-74 = -75
F0-25-72-7D-56-B0 = -75
F0-25-72-7D-56-B4 = -75
F0-25-72-7D-6F-60 = -45
F0-25-72-7D-6F-62 = -47
F0-25-72-7D-6F-64 = -45
F0-25-72-7D-6F-66 = -47
F0-25-72-7D-71-00 = -65
F0-25-72-7D-71-02 = -65
F0-25-72-7D-71-04 = -67
F0-25-72-7D-71-06 = -67
F0-25-72-7D-71-42 = -65
F0-25-72-7D-71-44 = -65
F0-25-72-7D-71-46 = -65
F0-25-72-7D-88-76 = -77
F0-25-72-7D-8B-30 = -65
F0-25-72-7D-8B-34 = -65
F0-25-72-7D-EB-86 = -75
---------------------
56-5A-04-2F-2C-A1 = -47
6C-B0-CE-ED-2B-BB = -63
F0-25-72-70-9E-70 = -57
F0-25-72-70-9E-72 = -55
F0-25-72-70-9E-74 = -55
F0-25-72-70-9E-76 = -57
F0-25-72-70-A5-60 = -65
F0-25-72-70-A5-62 = -69
F0-25-72-70-A5-64 = -67
F0-25-72-70-A5-66 = -69
F0-25-72-70-B6-70 = -73
F0-25-72-70-B6-74 = -73
F0-25-72-70-B6-76 = -71
F0-25-72-7D-56-B0 = -75
F0-25-72-7D-56-B4 = -75
F0-25-72-7D-56-B6 = -75
F0-25-72-7D-5F-02 = -65
F0-25-72-7D-5F-06 = -65
F0-25-72-7D-6F-60 = -49
F0-25-72-7D-6F-62 = -51
F0-25-72-7D-6F-64 = -51
F0-25-72-7D-6F-66 = -51
F0-25-72-7D-71-00 = -65
F0-25-72-7D-71-02 = -65
F0-25-72-7D-71-04 = -67
F0-25-72-7D-71-06 = -67
F0-25-72-7D-71-40 = -69
F0-25-72-7D-71-42 = -65
F0-25-72-7D-71-44 = -67
F0-25-72-7D-71-46 = -65
F0-25-72-7D-7D-D2 = -67
F0-25-72-7D-7D-D6 = -69
F0-25-72-7D-88-70 = -75
F0-25-72-7D-88-74 = -75
F0-25-72-7D-88-76 = -77
F0-25-72-7D-8B-30 = -55
F0-25-72-7D-EB-80 = -73
F0-25-72-7D-EB-84 = -71
---------------------
56-5A-04-2F-2C-A1 = -45
6C-B0-CE-ED-2B-BB = -57
F0-25-72-70-9E-70 = -59
F0-25-72-70-9E-72 = -59
F0-25-72-70-9E-74 = -63
F0-25-72-70-9E-76 = -61
F0-25-72-70-A5-60 = -67
F0-25-72-70-A5-62 = -63
F0-25-72-70-A5-64 = -65
F0-25-72-70-A5-66 = -67
F0-25-72-70-B6-70 = -73
F0-25-72-70-B6-74 = -73
F0-25-72-70-B6-76 = -71
F0-25-72-70-C3-62 = -77
F0-25-72-7D-56-B0 = -75
F0-25-72-7D-56-B4 = -75
F0-25-72-7D-56-B6 = -73
F0-25-72-7D-5F-00 = -67
F0-25-72-7D-5F-06 = -65
F0-25-72-7D-6F-60 = -53
F0-25-72-7D-6F-62 = -51
F0-25-72-7D-6F-64 = -53
F0-25-72-7D-6F-66 = -53
F0-25-72-7D-71-00 = -61
F0-25-72-7D-71-02 = -63
F0-25-72-7D-71-04 = -61
F0-25-72-7D-71-06 = -63
F0-25-72-7D-7D-D2 = -69
F0-25-72-7D-7D-D4 = -67
F0-25-72-7D-7D-D6 = -69
F0-25-72-7D-7E-22 = -73
F0-25-72-7D-88-70 = -69
F0-25-72-7D-88-72 = -73
F0-25-72-7D-88-74 = -71
F0-25-72-7D-88-76 = -69
F0-25-72-7D-89-46 = -73
F0-25-72-7D-8B-36 = -61
F0-25-72-7D-CA-A6 = -65
F0-25-72-7D-EB-82 = -69
F0-25-72-7D-EB-86 = -73
---------------------
00-22-75-43-1E-48 = -77
56-5A-04-2F-2C-A1 = -49
6C-B0-CE-ED-2B-BB = -71
F0-25-72-70-9E-70 = -59
F0-25-72-70-9E-72 = -59
F0-25-72-70-9E-74 = -61
F0-25-72-70-9E-76 = -59
